test_type,intent,flags,original_question,clean_question,rag_answer,ground_truth,source,failed
controlled,cancel_order,B,question about cancelling order {{Order Number}},question about cancelling my order,"To cancel your order, you must do so within 24 hours of placement. To start the cancellation process, please provide your Order Number. If your order has already been shipped, you won't be able to cancel it and will need to follow our return process instead. However, if you act quickly, we can try to stop the shipment before it leaves the warehouse, but this is only possible if the order hasn't been shipped yet.

If you're unsure about the status of your order, feel free to contact us with your order details and we'll do our best to help.","I've understood you have a question regarding canceling order {{Order Number}}, and I'm here to provide you with the information you need. Please go ahead and ask your question, and I'll do my best to assist you.",order_policy.txt,False
controlled,cancel_order,BQZ,i have a question about cancelling oorder {{Order Number}},i have a question about cancelling omy order,"To cancel your order, you'll need to contact our support team with your order details. You can do this if the order has not yet shipped or if it was placed within the last 24 hours. If your order has already been shipped or contains personalized items, I'm afraid it's not possible to cancel it, and you'll need to follow our return process instead.

Can I have your order number and a brief description of your order so I can assist you further?","I've been informed that you have a question about canceling order {{Order Number}}. I'm here to assist you! Please go ahead and let me know what specific question you have, and I'll provide you with all the information and guidance you need. Your satisfaction is my top priority.",order_policy.txt,False
controlled,cancel_order,BLQZ,i need help cancelling puchase {{Order Number}},i need help cancelling puchase 12345,"To cancel your order, you'll need to provide your Order Number. Can you please confirm that your Order Number is indeed 12345? 

Additionally, I'll need to know the current status of your order to see if it's still within the 24-hour cancellation window.","I can sense that you're seeking assistance with canceling your purchase with the purchase number {{Order Number}}. I apologize for any inconvenience caused, and I'm here to guide you through the process.

To cancel your purchase, please follow these steps:

1. Log into your account: Visit our {{Online Company Portal Info}} and sign in using your credentials.
2. Locate your order: Once logged in, navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section to find the purchase with the order number {{Order Number}}.
3. Initiate the cancellation: Upon finding your purchase, look for the option labeled '{{Online Order Interaction}}' and click on it to initiate the cancellation process.
4. Confirm the cancellation: Our system might ask for confirmation or feedback regarding the cancellation. Kindly provide the necessary information to complete the process.
5. Seek additional support: If you encounter any difficulties or require further assistance, our dedicated customer support team is available during {{Customer Support Hours}}. You can contact us at {{Customer Support Phone Number}} or use the Live Chat feature on our {{Website URL}}.

We appreciate your understanding and value your satisfaction. Should you have any more questions or concerns, feel free to reach out to us. We're here to help you.",order_policy.txt,False
controlled,cancel_order,BL,I need to cancel purchase {{Order Number}},I need to cancel my order,"Please provide your Order Number so I can assist you with cancelling your order. If your order has been shipped, you may need to follow our return process instead. Can you also let me know your Order Number?","I understood that you need assistance with canceling your purchase with the order number {{Order Number}}. We apologize for any inconvenience this may have caused. To initiate the cancellation process, please follow these steps:

1. Sign in to your account: Visit our {{Online Company Portal Info}} and login using your credentials.
2. Access your order history: Once logged in, navigate to the ""{{Online Order Interaction}}"" or ""{{Online Order Interaction}}"" section.
3. Locate the purchase: Look for the order with the specific order number {{Order Number}}.
4. Cancel the purchase: Click on the ""{{Online Order Interaction}}"" option associated with the purchase.
5. Confirm the cancellation: Follow any further prompts or questions from the system to finalize the cancellation.

If you encounter any difficulties or have further questions, our dedicated team is available to assist you. You can reach us during {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat feature on our website {{Website URL}}. We appreciate your understanding and value your satisfaction.",order_policy.txt,False
controlled,cancel_order,BCELN,"I cannot afford this order, cancel purchase {{Order Number}}","I cannot afford this order, cancel my order","I can help you cancel your order. To do so, please provide your Order Number. If your order has not yet been shipped, we can cancel it within 24 hours of placement at no charge. If it has already been shipped, we'll need to guide you through our return process instead.","I'm sensitive to the fact that you're facing financial difficulties and need to cancel your purchase with the order number {{Order Number}}. We're here to assist you with that, and I appreciate your transparency in sharing your situation with us. Let's proceed with the cancellation process:

1. Access Your Account: Log in to our {{Online Company Portal Info}}.
2. Locate Your Order History: Once you're logged in, navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section.
3. Find the Relevant Purchase: Look for the purchase associated with the order number {{Order Number}} and click on it.
4. Initiate the Cancellation: Within the purchase details page, you should see an option labeled '{{Online Order Interaction}}'. Please select this option.
5. Confirm Cancellation: The system may prompt you for confirmation or ask a few questions for feedback. Please complete these steps.

If you encounter any difficulties or have further questions along the way, our team is ready to assist you. Reach out to us during {{Customer Support Hours}} at {{Customer Support Phone Number}} or via Live Chat on our {{Website URL}}. We value your satisfaction and understand that situations can change.",order_policy.txt,False
controlled,cancel_order,BI,can you help me cancel order {{Order Number}}?,can you help me cancel my order?,"To cancel your order, I'll need to know your Order Number. Can you please provide that to me so I can assist you further? 

Also, I'll need to know if your order has already shipped or not, as this will determine the next steps.","Of course, I'm here to assist you in canceling your order with the number {{Order Number}}. Let's get this sorted out for you. 

Please follow these steps:

1. Sign in to your {{Online Company Portal Info}} using your credentials.
2. Go to your '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section, where you can find a record of all your purchases.
3. Locate the order associated with the number {{Order Number}} and click on it to view the details.
4. Look for the option to '{{Online Order Interaction}}' and select it to initiate the cancellation process.
5. Follow any additional instructions or provide any necessary feedback as prompted by the system.

Should you encounter any difficulties or have further questions, our dedicated support team is available to assist you. You can reach us during {{Customer Support Hours}} at {{Customer Support Phone Number}}, or you can connect with us using the Live Chat feature on our website at {{Website URL}}. We are committed to providing you with a satisfactory resolution and ensuring your utmost satisfaction.",order_policy.txt,False
controlled,cancel_order,BCLN,"I can no longer afford order {{Order Number}}, cancel it","I can no longer afford my order, cancel it","To cancel your order, please contact our support team immediately with your order details, including your Order Number. You must do this within 24 hours of placing your order to avoid any potential cancellation fee. If your order has already shipped, you'll need to follow our return process instead.","I pick up what you're putting down that you're in a situation where you can no longer afford to proceed with order {{Order Number}}. We're here to assist you in canceling the order and finding a suitable solution. Kindly follow the steps below:

1. Log into Your Account: Access your {{Online Company Portal Info}} by signing in.
2. Locate Your Order: Navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section.
3. Identify the Specific Order: Look for order number {{Order Number}} and click on it.
4. Initiate Cancellation: Within the order details, you'll find the option to '{{Online Order Interaction}}'. Please select it to begin the process.
5. Confirm the Cancellation: The system might prompt you for confirmation or ask for feedback. Please provide the necessary information to proceed.

Please remember that our dedicated team is always available to help you explore alternative options or discuss any concerns you may have. Feel free to reach out during {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat feature on our {{Website URL}}. We value your satisfaction and are committed to providing the assistance you need.",order_policy.txt,False
controlled,cancel_order,BL,I am trying to cancel purchase {{Order Number}},I am trying to cancel my order,"I'd be happy to help you cancel your order. To do so, you'll need to provide me with your Order Number. I'll need this information to process your cancellation. Please share your Order Number, and I'll let you know if it's still possible to cancel within the 24-hour window.

Additionally, please let me know if you've already received a shipping confirmation or if the order has not yet been shipped, as this may affect our ability to cancel the order.","I've understood that you're seeking assistance in canceling purchase {{Order Number}}. Our goal is to make this process as seamless as possible for you. Here's what you need to do:

1. Sign into Your Account: Access our platform by logging into your {{Online Company Portal Info}}.
2. Navigate to Your Orders: Once logged in, navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section.
3. Locate Your Purchase: Look for the purchase with the order number {{Order Number}} and click on it to view the details.
4. Initiate the Cancellation: Within the purchase details, you should find an option labeled '{{Online Order Interaction}}'. Please select this option to start the cancellation process.
5. Follow Any Additional Steps: Depending on the specific circumstances, there may be additional steps or information required to complete the cancellation. Please provide any necessary details as prompted.

If you encounter any difficulties or have further questions along the way, our dedicated support team is available to assist you. You can reach us during {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat feature on our website at {{Website URL}}. Rest assured, we are committed to your satisfaction and will do everything we can to help you with the cancellation process.",order_policy.txt,False
controlled,cancel_order,BL,I have got to cancel purchase {{Order Number}},I have got to cancel my order,"To cancel your order, please provide me with your Order Number. This will allow me to process your cancellation request. If your order has already been shipped, I'll need to guide you through our return process instead.","I'm sensitive to the fact that you're seeking assistance with canceling your purchase of item {{Order Number}}. Rest assured, I'm here to guide you through the process. Here's what you need to do:

1. Sign in to Your Account: Access our platform by signing in to your {{Online Company Portal Info}}.
2. Go to Your Orders: Once you're signed in, navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section.
3. Locate Your Purchase: Find the purchase associated with order number {{Order Number}} and click on it for more details.
4. Initiate Cancellation: Within the purchase details, you'll find a '{{Online Order Interaction}}' option. Please select it to begin the cancellation process.
5. Provide Feedback (if required): In some cases, the system may request feedback or additional information. Kindly complete these steps as prompted.

If you encounter any difficulties during this process or have any further questions, our dedicated support team is available to assist you. You can reach out to us during {{Customer Support Hours}} at {{Customer Support Phone Number}} or use the Live Chat feature on our {{Website URL}}. We are committed to ensuring your satisfaction and resolving any concerns you may have.",order_policy.txt,False
controlled,cancel_order,BLQ,i need help canceling purchase {{Order Number}},i need help canceling my order,"To cancel your order, please provide me with your Order Number so I can assist you. You can also let me know if your order has shipped yet or if you'd like to know the current status of your order.

Additionally, if you're trying to cancel an order outside of the 24-hour window or if your order contains personalized or digital items, please let me know and I'll guide you through the return process or let you know our policy regarding cancellations.","I perceive that you're seeking assistance with canceling your purchase with order number {{Order Number}}. I'm here to guide you through the cancellation process and ensure a smooth experience. To proceed with the cancellation, please follow these steps:

1. Access Your Account: Log in to your {{Online Company Portal Info}} using your credentials.
2. Locate Your Orders: Once you're logged in, navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section.
3. Find the Specific Purchase: Look for the order with the number {{Order Number}} and click on it to view the details.
4. Initiate the Cancellation: On the order details page, you should find an option to '{{Online Order Interaction}}'. Please select it.
5. Confirm the Cancellation: The system may ask you to confirm the cancellation. Follow the prompts and provide any necessary feedback.

If you encounter any issues along the way or have further questions, our dedicated customer support team is available to assist you. You can reach out to us during {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat feature on our website at {{Website URL}}. We value your satisfaction and strive to provide the best support possible.",order_policy.txt,False
